  0%|                                                                                                                                           | 0/1872 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
 27%|█████████████████████████████████                                                                                           | 500/1872 [4:05:41<11:02:21, 28.97s/it]
{'loss': 2.7856, 'grad_norm': 0.06220852583646774, 'learning_rate': 2.631578947368421e-05, 'epoch': 0.01}
{'loss': 2.7245, 'grad_norm': 0.057638462632894516, 'learning_rate': 5.263157894736842e-05, 'epoch': 0.03}
{'loss': 2.5746, 'grad_norm': 0.05643892660737038, 'learning_rate': 5.940495867768595e-05, 'epoch': 0.04}
{'loss': 2.5483, 'grad_norm': 0.07908579707145691, 'learning_rate': 5.857851239669422e-05, 'epoch': 0.05}
{'loss': 2.4769, 'grad_norm': 0.043562259525060654, 'learning_rate': 5.7752066115702484e-05, 'epoch': 0.07}
{'loss': 2.3864, 'grad_norm': 0.06927036494016647, 'learning_rate': 5.692561983471075e-05, 'epoch': 0.08}
{'loss': 2.3784, 'grad_norm': 0.053387511521577835, 'learning_rate': 5.609917355371901e-05, 'epoch': 0.09}
{'loss': 2.2749, 'grad_norm': 0.06290650367736816, 'learning_rate': 5.527272727272728e-05, 'epoch': 0.11}
{'loss': 2.3183, 'grad_norm': 0.09147290140390396, 'learning_rate': 5.444628099173554e-05, 'epoch': 0.12}
{'loss': 2.2845, 'grad_norm': 0.07189866900444031, 'learning_rate': 5.3619834710743805e-05, 'epoch': 0.13}
{'loss': 2.2525, 'grad_norm': 0.07483837753534317, 'learning_rate': 5.279338842975207e-05, 'epoch': 0.15}
{'loss': 2.2722, 'grad_norm': 0.06756403297185898, 'learning_rate': 5.196694214876034e-05, 'epoch': 0.16}
{'loss': 2.301, 'grad_norm': 0.08443157374858856, 'learning_rate': 5.11404958677686e-05, 'epoch': 0.17}
{'loss': 2.2216, 'grad_norm': 0.06778664886951447, 'learning_rate': 5.031404958677686e-05, 'epoch': 0.19}
{'loss': 2.2954, 'grad_norm': 0.07557673752307892, 'learning_rate': 4.948760330578512e-05, 'epoch': 0.2}
{'loss': 2.1517, 'grad_norm': 0.13763311505317688, 'learning_rate': 4.866115702479339e-05, 'epoch': 0.21}
{'loss': 2.2222, 'grad_norm': 0.08662250638008118, 'learning_rate': 4.783471074380165e-05, 'epoch': 0.23}
{'loss': 2.1509, 'grad_norm': 0.12179182469844818, 'learning_rate': 4.7008264462809915e-05, 'epoch': 0.24}
{'loss': 2.2096, 'grad_norm': 0.10634440183639526, 'learning_rate': 4.618181818181818e-05, 'epoch': 0.25}
{'loss': 2.2418, 'grad_norm': 0.09564276039600372, 'learning_rate': 4.535537190082645e-05, 'epoch': 0.27}
 83%|█████████████████████████████████████████████████████████████████████████████████████████████████████████                     | 1040/1248 [3:00:41<35:21, 10.20s/it]
